,Date,Day #,TL value in USD
0,2021-04-24,99,8.3403779214
1,2021-04-23,98,8.3403779214
2,2021-04-22,97,8.2644031214
3,2021-04-21,96,8.1748979762
4,2021-04-20,95,8.1125217824
5,2021-04-19,94,8.0762775239
6,2021-04-18,93,8.067078258
7,2021-04-17,92,8.067078258
8,2021-04-16,91,8.067078258
9,2021-04-15,90,8.1128654971
10,2021-04-14,89,8.0902708124
11,2021-04-13,88,8.1450067249
12,2021-04-12,87,8.1517137097
13,2021-04-11,86,8.1513290713
14,2021-04-10,85,8.1513290713
15,2021-04-09,84,8.1513290713
16,2021-04-08,83,8.1528678514
17,2021-04-07,82,8.1813362504
18,2021-04-06,81,8.1511175076
19,2021-04-05,80,8.1647369317
20,2021-04-04,79,8.1647369317
21,2021-04-03,78,8.1647369317
22,2021-04-02,77,8.1647369317
23,2021-04-01,76,8.1647369317
24,2021-03-31,75,8.2942430704
25,2021-03-30,74,8.3297845158
26,2021-03-29,73,8.1643754243
27,2021-03-28,72,8.0226616873
28,2021-03-27,71,8.0226616873
29,2021-03-26,70,8.0226616873
30,2021-03-25,69,7.9912726656
31,2021-03-24,68,7.9500211416
32,2021-03-23,67,7.8799966338
33,2021-03-22,66,7.8900721114
34,2021-03-21,65,7.2621310235
35,2021-03-20,64,7.2621310235
36,2021-03-19,63,7.2621310235
37,2021-03-18,62,7.3624076561
38,2021-03-17,61,7.5164189132
39,2021-03-16,60,7.492034211
40,2021-03-15,59,7.5379194631
41,2021-03-14,58,7.5799882678
42,2021-03-13,57,7.5799882678
43,2021-03-12,56,7.5799882678
44,2021-03-11,55,7.4382153898
45,2021-03-10,54,7.5907332661
46,2021-03-09,53,7.6528501766
47,2021-03-08,52,7.6741951795
48,2021-03-07,51,7.4972357179
49,2021-03-06,50,7.4972357179
50,2021-03-05,49,7.4972357179
51,2021-03-04,48,7.4510553432
52,2021-03-03,47,7.3878652058
53,2021-03-02,46,7.3288160958
54,2021-03-01,45,7.232639177
55,2021-02-28,44,7.4389901823
56,2021-02-27,43,7.4389901823
57,2021-02-26,42,7.4389901823
58,2021-02-25,41,7.2265030675
59,2021-02-24,40,7.1686975136
60,2021-02-23,39,7.0559993412
61,2021-02-22,38,7.0620621446
62,2021-02-21,37,6.9585633083
63,2021-02-20,36,6.9585633083
64,2021-02-19,35,6.9585633083
65,2021-02-18,34,6.9492717643
66,2021-02-17,33,6.9940298507
67,2021-02-16,32,6.9729885531
68,2021-02-15,31,6.9600131915
69,2021-02-14,30,7.0209778659
70,2021-02-13,29,7.0209778659
71,2021-02-12,28,7.0209778659
72,2021-02-11,27,7.0185230921
73,2021-02-10,26,7.0506308238
74,2021-02-09,25,7.0954230007
75,2021-02-08,24,7.0942203742
76,2021-02-07,23,7.0727697572
77,2021-02-06,22,7.0727697572
78,2021-02-05,21,7.0727697572
79,2021-02-04,20,7.1265421807
80,2021-02-03,19,7.1678455521
81,2021-02-02,18,7.1927100631
82,2021-02-01,17,7.1914928832
83,2021-01-31,16,7.3147659855
84,2021-01-30,15,7.3147659855
85,2021-01-29,14,7.3147659855
86,2021-01-28,13,7.3867339343
87,2021-01-27,12,7.3916130097
88,2021-01-26,11,7.3514782179
89,2021-01-25,10,7.3950789993
90,2021-01-24,9,7.4185721336
91,2021-01-23,8,7.4185721336
92,2021-01-22,7,7.4185721336
93,2021-01-21,6,7.3659318967
94,2021-01-20,5,7.4465746633
95,2021-01-19,4,7.4395812727
96,2021-01-18,3,7.5054708223
97,2021-01-17,2,7.4386702961
98,2021-01-16,1,7.4386702961
99,2021-01-15,0,7.4386702961
